lon,lat,alt,ZOI_DBSCAN
124.476669,43.737316,23075.0,0
124.205605,43.676472,26200.0,0
124.062653,43.667999,27750.0,0
123.924866,43.659946,29225.0,0
123.785774,43.651707,30275.0,0
123.646683,43.643139,31100.0,0
123.500847,43.634018,31675.0,0
123.354942,43.624786,32100.0,0
123.20311,43.614944,32100.0,0
123.053581,43.60725,32100.0,0
122.902328,43.599426,32100.0,0
122.751617,43.591469,32125.0,0
122.452827,43.575035,32100.0,0
122.303131,43.566422,32100.0,0
122.155083,43.543102,32125.0,0
121.467659,43.311272,32125.0,0
121.331032,43.26384,32150.0,0
121.192802,43.215611,32125.0,0
121.053314,43.166634,32125.0,0
120.636551,43.019299,32075.0,0
120.495239,42.968861,32125.0,0
120.070282,42.822922,32100.0,0
119.65715,42.67905,32050.0,0
119.518089,42.63007,32100.0,0
119.378624,42.580902,32150.0,0
119.241982,42.532562,32125.0,0
118.965645,42.433853,32100.0,0
118.827126,42.385666,32125.0,0
118.689301,42.337143,32100.0,0
118.551361,42.288799,32100.0,0
118.416634,42.24115,32075.0,0
118.270439,42.2057,32075.0,0
117.99604,42.274429,32125.0,0
117.865028,42.319889,32125.0,0
117.42762,42.361359,32100.0,0
116.821327,42.33065,32100.0,0
116.366478,42.305141,32075.0,0
115.464752,42.249802,32100.0,0
115.16362,42.22961,32100.0,0
114.712212,42.197651,32100.0,0
114.553932,42.18615,32150.0,0
114.40255,42.174648,32125.0,0
114.250008,42.162731,32150.0,0
114.108856,42.116459,32100.0,0
113.976509,42.055382,32050.0,0
113.312683,41.744339,32125.0,0
113.047142,41.617981,32125.0,0
112.665627,41.41362,32075.0,0
112.561577,41.3237,32100.0,0
112.354561,41.143291,32100.0,0
112.16156,40.969116,32100.0,0
112.119034,40.929611,32075.0,0
112.0196,40.837158,32075.0,0
111.990631,40.809834,32100.0,0
111.905212,40.674637,32150.0,1
111.892273,40.60817,32150.0,1
111.884453,40.542671,32100.0,0
111.877258,40.471802,32100.0,0
111.872284,40.406319,32100.0,0
111.867493,40.34903,32100.0,0
111.860527,40.264069,32100.0,0
111.853302,40.173882,32125.0,0
111.822807,40.010601,32150.0,0
111.779419,39.940887,32125.0,1
111.689148,39.85202,32050.0,0
111.635544,39.802185,32050.0,1
111.584793,39.755127,32050.0,0
111.53479,39.708641,32100.0,0
111.523056,39.697723,32100.0,0
111.422424,39.60371,32125.0,0
111.365845,39.550922,32125.0,0
111.314392,39.502739,32125.0,0
111.262451,39.454044,32100.0,0
111.186897,39.382828,32075.0,0
111.136261,39.334946,32075.0,0
111.119781,39.319382,32050.0,0
111.064018,39.26688,32075.0,0
110.978149,39.199032,32125.0,1
110.976006,39.197937,32125.0,1
110.971588,39.195694,32125.0,0
110.942207,39.183197,32125.0,1
110.936714,39.181229,32125.0,1
110.930725,39.179249,32125.0,1
110.926086,39.177841,32125.0,1
110.919762,39.17601,32125.0,1
110.913071,39.174225,32125.0,1
110.904358,39.172165,32125.0,1
110.819519,39.164398,32125.0,0
110.543457,39.176971,32100.0,0
110.266777,39.18898,32100.0,0
109.990356,39.202011,32125.0,0
109.711731,39.214951,32100.0,0
109.475517,39.108299,32100.0,0
109.441101,38.98531,32125.0,0
109.349548,38.616261,32075.0,0
109.319641,38.49456,32075.0,0
109.284401,38.244549,32125.0,0
109.276711,38.118229,32125.0,0
109.268707,37.991791,32100.0,0
109.25354,37.740921,32075.0,0
109.223152,37.237091,32125.0,0
109.184639,36.584572,32050.0,0
109.177094,36.45557,32100.0,0
109.152618,36.057831,32100.0,0
109.119888,35.799561,32125.0,0
109.02774,35.565578,32125.0,0
108.983063,35.453571,32100.0,0
108.881889,35.198189,32075.0,0
108.837738,35.086399,32100.0,0
108.789818,34.965271,32100.0,0
108.741814,34.842346,32100.0,0
108.649292,34.572487,32100.0,0
108.610382,34.452148,32100.0,0
108.570274,34.325943,32125.0,0
108.443802,34.090027,32100.0,0
108.346603,33.993256,32100.0,0
108.250237,33.897243,32100.0,0
108.152908,33.800182,32100.0,0
108.057213,33.704498,32100.0,0
107.96196,33.608952,32100.0,0
107.857719,33.523708,32100.0,0
107.747482,33.44302,32100.0,0
107.652451,33.348999,32100.0,0
